"","MISSION_DATE","TGT_LATITUDE_WGS84","TGT_LONGITUDE_WGS84","CALCULATED_BOMBLOAD_LBS"
"214","6/12/51",38.43723,125.7841,57600
"215","6/12/51",38.38017,126.48136,12000
"216","6/12/51",38.25872,127.99416,8000
"217","6/12/51",38.26783,128.00547,12000
"218","6/12/51",38.1944,126.64762,20000
"219","6/12/51",39.90272,127.52601,30000
"220","6/12/51",39.90272,127.52601,30000
"221","6/12/51",38.50078,125.76362,39000
"222","6/12/51",38.50078,125.76362,39000
"223","6/13/51",38.72496,125.40419,57600
"224","6/13/51",38.72496,125.40419,57600
"225","6/13/51",39.90272,127.52601,64800
"226","6/13/51",39.90272,127.52601,64800
"227","6/13/51",38.4121,125.70298,12000
"228","6/13/51",38.26497,127.0568,5000
"229","6/13/51",38.33446,126.90622,5000
"230","6/13/51",38.48736,126.89033,5000
"231","6/13/51",38.40265,126.69814,5000
"232","6/13/51",39.90272,127.52601,20000
"235","6/14/51",38.0918,126.47989,5000
"236","6/14/51",38.28113,126.48479,5000
"237","6/14/51",38.32047,126.64355,5000
"238","6/14/51",38.26667,126.65672,5000
"239","6/14/51",38.26764,127.98261,10000
"240","6/14/51",38.30252,127.85632,10000
"241","6/14/51",38.43723,125.7841,16000
"244","6/15/51",39.90272,127.52601,21600
"245","6/15/51",39.90272,127.52601,21600
"246","6/15/51",38.3971,126.88151,5000
"247","6/15/51",38.39068,127.03054,5000
"248","6/15/51",38.42184,127.29314,5000
"249","6/15/51",38.43952,127.26981,5000
"250","6/15/51",38.50756,127.64664,10000
"251","6/15/51",38.49881,127.66974,10000
"252","6/15/51",39.81265,127.52794,79500
"254","6/16/51",38.39229,127.82055,5000
"255","6/16/51",38.32933,127.83301,5000
"256","6/16/51",38.31108,127.81043,5000
"257","6/16/51",38.31131,127.8333,5000
"258","6/16/51",38.50769,127.65811,9500
"259","6/16/51",38.50782,127.66958,10000
"260","6/16/51",38.36314,127.62645,10000
"261","6/16/51",38.39003,127.61449,10000
"262","6/16/51",38.33542,127.56976,10000
"263","6/16/51",38.37472,127.86663,10000
"264","6/16/51",38.35478,127.68383,10000
"265","6/16/51",38.46588,127.97983,10000
"266","6/16/51",38.41679,127.59107,10000
"267","6/16/51",38.40805,127.61414,10000
"268","6/16/51",38.25872,127.99416,10000
"270","6/16/51",38.27593,127.90246,10000
"277","6/16/51",38.62358,127.55257,10000
"278","6/16/51",38.40046,127.74026,10000
"279","6/16/51",38.36287,127.60356,10500
"281","6/16/51",38.40858,127.65994,20000
"286","6/17/51",38.73827,125.62321,3600
"287","6/17/51",38.73827,125.62321,3600
"288","6/17/51",39.01412,125.77195,3600
"289","6/17/51",39.01412,125.77195,3600
"290","6/17/51",40.02442,127.94527,7200
"291","6/17/51",40.02442,127.94527,7200
"292","6/17/51",39.41014,125.78758,7200
"293","6/17/51",39.41014,125.78758,7200
"294","6/17/51",39.01412,125.77195,53500
"295","6/17/51",39.01412,125.77195,53500
"296","6/17/51",39.01246,125.84117,66300
"297","6/17/51",39.01246,125.84117,66300
"299","6/17/51",39.41014,125.78758,15000
"300","6/17/51",39.41014,125.78758,15000
"301","6/17/51",39.01412,125.77195,54500
"302","6/17/51",39.01412,125.77195,55000
"309","6/18/51",39.43032,127.24556,7200
"310","6/18/51",39.43032,127.24556,7200
"313","6/18/51",39.18731,125.68614,35700
"314","6/18/51",39.18731,125.68614,35700
"319","6/18/51",38.363,127.615,10000
"320","6/18/51",38.38047,127.56888,10000
"321","6/18/51",39.43032,127.24556,16000
"322","6/18/51",39.43032,127.24556,16000
"323","6/18/51",39.18731,125.68614,42000
"324","6/18/51",39.18731,125.68614,42000
"326","6/19/51",38.69635,127.6086,12000
"327","6/19/51",38.28566,127.98235,10000
"328","6/19/51",38.29515,128.0394,10000
"329","6/19/51",38.36837,128.18724,10000
"330","6/19/51",38.46211,127.61311,10000
"331","6/19/51",38.40778,127.59124,10000
"332","6/19/51",38.5927,128.05841,10000
"333","6/19/51",38.49994,127.77293,10000
"334","6/19/51",38.39891,127.60287,10000
"335","6/19/51",38.48967,127.65844,19500
"336","6/19/51",38.3505,128.21033,20000
"337","6/19/51",38.46264,127.65894,20000
"338","6/19/51",38.42593,127.60235,20000
"339","6/19/51",38.3505,128.21033,20000
"340","6/19/51",40.02442,127.94527,20000
"341","6/19/51",38.489,127.60113,40000
"343","6/20/51",40.03549,128.20296,7200
"344","6/20/51",40.03549,128.20296,7200
"345","6/20/51",40.22907,126.17911,14400
"346","6/20/51",40.22907,126.17911,14400
"347","6/20/51",38.89947,125.23711,63600
"348","6/20/51",38.89947,125.23711,63600
"350","6/20/51",38.51734,127.71528,10000
"351","6/20/51",40.03549,128.20296,19500
"352","6/21/51",38.43085,127.29293,6000
"354","6/21/51",38.38019,127.54598,10000
"355","6/21/51",40.03549,128.20296,17500
"356","6/21/51",38.49031,127.71576,30000
"357","6/21/51",40.03549,128.20296,157000
